enter_cat,following_cat,nb_cus_cross,nb_cus_enter,nb_cus_follow,nb_customer_tot,confidence,expected,lift
PRODUCT > HOUSE KEEPING PRODUCTS,PRODUCT > SPECIALTY BAR,1,51,150,11811,2.0,1.0,1.5
PRODUCT > CANDY,PRODUCT > SPECIALTY BAR,4,170,150,11811,2.0,1.0,1.9
PRODUCT > SALTY SNACK,PRODUCT > SPECIALTY BAR,5,208,150,11811,2.0,1.0,1.9
PRODUCT > FLOWER (SEEDS),PRODUCT > SPECIALTY BAR,1,43,150,11811,2.0,1.0,1.8
PRODUCT > LIQUOR,PRODUCT > SPECIALTY BAR,1,63,150,11811,2.0,1.0,1.2
PRODUCT > RED/BLUSH WINE,PRODUCT > SPECIALTY BAR,2,118,150,11811,2.0,1.0,1.3
PRODUCT > POPCORN,PRODUCT > SPECIALTY BAR,1,48,150,11811,2.0,1.0,1.6
PRODUCT > SPECIALTY CHEESE,PRODUCT > SPECIALTY BAR,1,62,150,11811,2.0,1.0,1.3
PRODUCT > CANNED BEER,PRODUCT > SPECIALTY BAR,6,310,150,11811,2.0,1.0,1.5
PRODUCT > LIQUOR (APPETIZER),PRODUCT > SPECIALTY BAR,1,51,150,11811,2.0,1.0,1.5
PRODUCT > INSTANT FOOD PRODUCTS,PRODUCT > SPECIALTY BAR,1,52,150,11811,2.0,1.0,1.5
PRODUCT > MUSTARD,PRODUCT > SPECIALTY FAT,2,84,21,11811,2.0,0.0,13.4
PRODUCT > INSTANT COFFEE,PRODUCT > SPECIALTY FAT,1,48,21,11811,2.0,0.0,11.7
PRODUCT > RICE,PRODUCT > SPECIALTY FAT,1,50,21,11811,2.0,0.0,11.2
PRODUCT > MAYONNAISE,PRODUCT > SPREAD CHEESE,1,66,70,11811,2.0,1.0,2.6
"PRODUCT > CREAM CHEESE ",PRODUCT > SPREAD CHEESE,6,281,70,11811,2.0,1.0,3.6
PRODUCT > POPCORN,PRODUCT > SWEET SPREADS,1,48,58,11811,2.0,0.0,4.2
PRODUCT > DISH CLEANER,PRODUCT > BABY COSMETICS,1,62,4,11811,2.0,0.0,47.6
PRODUCT > PACKAGED FRUIT/VEGETABLES,PRODUCT > CONDENSED MILK,2,93,67,11811,2.0,1.0,3.8
PRODUCT > DISH CLEANER,PRODUCT > CONDENSED MILK,1,62,67,11811,2.0,1.0,2.8
PRODUCT > HOUSE KEEPING PRODUCTS,PRODUCT > CONDENSED MILK,1,51,67,11811,2.0,1.0,3.5
PRODUCT > PICKLED VEGETABLES,PRODUCT > CONDENSED MILK,2,122,67,11811,2.0,1.0,2.9
PRODUCT > RICE,PRODUCT > FLOWER (SEEDS),1,50,45,11811,2.0,0.0,5.2
PRODUCT > SOUPS,PRODUCT > FLOWER (SEEDS),1,46,45,11811,2.0,0.0,5.7
PRODUCT > ICE CREAM,PRODUCT > FROZEN DESSERT,3,148,73,11811,2.0,1.0,3.3
PRODUCT > ROOT VEGETABLES,PRODUCT > HAMBURGER MEAT,18,759,224,11811,2.0,2.0,1.3
PRODUCT > PROCESSED CHEESE,PRODUCT > HAMBURGER MEAT,2,110,224,11811,2.0,2.0,1.0
PRODUCT > FRANKFURTER,PRODUCT > HAMBURGER MEAT,10,414,224,11811,2.0,2.0,1.3
PRODUCT > CANDLES,PRODUCT > HAMBURGER MEAT,1,48,224,11811,2.0,2.0,1.1
PRODUCT > SWEET SPREADS,PRODUCT > HAMBURGER MEAT,1,55,224,11811,2.0,2.0,1.0
PRODUCT > MISC. BEVERAGES,PRODUCT > HAMBURGER MEAT,3,165,224,11811,2.0,2.0,1.0
PRODUCT > HERBS,PRODUCT > HAMBURGER MEAT,2,108,224,11811,2.0,2.0,1.0
PRODUCT > INSTANT COFFEE,PRODUCT > HAMBURGER MEAT,1,48,224,11811,2.0,2.0,1.1
PRODUCT > SAUSAGE,PRODUCT > HAMBURGER MEAT,12,650,224,11811,2.0,2.0,1.0
PRODUCT > MAYONNAISE,PRODUCT > INSTANT COFFEE,1,66,43,11811,2.0,0.0,4.2
PRODUCT > CLING FILM/BAGS,PRODUCT > KITCHEN TOWELS,1,65,35,11811,2.0,0.0,5.2
PRODUCT > CHOCOLATE MARSHMALLOW,PRODUCT > KITCHEN TOWELS,1,47,35,11811,2.0,0.0,7.2
PRODUCT > CHEWING GUM,PRODUCT > MALE COSMETICS,2,116,24,11811,2.0,0.0,8.5
PRODUCT > CLING FILM/BAGS,PRODUCT > MALE COSMETICS,1,65,24,11811,2.0,0.0,7.6
PRODUCT > SWEET SPREADS,PRODUCT > PUDDING POWDER,1,55,17,11811,2.0,0.0,12.6
PRODUCT > WHITE WINE,PRODUCT > RED/BLUSH WINE,2,106,101,11811,2.0,1.0,2.2
PRODUCT > BOTTLED BEER,PRODUCT > RED/BLUSH WINE,9,421,101,11811,2.0,1.0,2.5
PRODUCT > CANNED BEER,PRODUCT > RED/BLUSH WINE,6,310,101,11811,2.0,1.0,2.3
PRODUCT > CLING FILM/BAGS,PRODUCT > RED/BLUSH WINE,1,65,101,11811,2.0,1.0,1.8
PRODUCT > PET CARE,PRODUCT > RED/BLUSH WINE,1,61,101,11811,2.0,1.0,1.9
PRODUCT > PROCESSED CHEESE,"PRODUCT > ROLL PRODUCTS ",2,110,70,11811,2.0,1.0,3.1
PRODUCT > DISH CLEANER,"PRODUCT > ROLL PRODUCTS ",1,62,70,11811,2.0,1.0,2.7
PRODUCT > MAYONNAISE,"PRODUCT > ROLL PRODUCTS ",1,66,70,11811,2.0,1.0,2.6
PRODUCT > PET CARE,PRODUCT > SNACK PRODUCTS,1,61,20,11811,2.0,0.0,9.7
PRODUCT > POPCORN,PRODUCT > SNACK PRODUCTS,1,48,20,11811,2.0,0.0,12.3
PRODUCT > LONG LIFE BAKERY PRODUCT,PRODUCT > CLING FILM/BAGS,4,224,58,11811,2.0,0.0,3.6
PRODUCT > HYGIENE ARTICLES,PRODUCT > CLING FILM/BAGS,3,183,58,11811,2.0,0.0,3.3
PRODUCT > FLOWER (SEEDS),PRODUCT > CLING FILM/BAGS,1,43,58,11811,2.0,0.0,4.7
PRODUCT > LIQUOR (APPETIZER),PRODUCT > MISC. BEVERAGES,1,51,153,11811,2.0,1.0,1.5
PRODUCT > NAPKINS,PRODUCT > MISC. BEVERAGES,5,281,153,11811,2.0,1.0,1.4
PRODUCT > CANDY,PRODUCT > MISC. BEVERAGES,4,170,153,11811,2.0,1.0,1.8
PRODUCT > SODA,PRODUCT > MISC. BEVERAGES,17,1026,153,11811,2.0,1.0,1.3
PRODUCT > CLING FILM/BAGS,PRODUCT > MISC. BEVERAGES,1,65,153,11811,2.0,1.0,1.2
PRODUCT > PET CARE,PRODUCT > MISC. BEVERAGES,1,61,153,11811,2.0,1.0,1.3
PRODUCT > SPREAD CHEESE,PRODUCT > MISC. BEVERAGES,2,81,153,11811,2.0,1.0,1.9
PRODUCT > CHEWING GUM,PRODUCT > MISC. BEVERAGES,2,116,153,11811,2.0,1.0,1.3
PRODUCT > BOTTLED WATER,PRODUCT > MISC. BEVERAGES,14,685,153,11811,2.0,1.0,1.6
PRODUCT > LIQUOR,PRODUCT > MISC. BEVERAGES,1,63,153,11811,2.0,1.0,1.2
PRODUCT > RED/BLUSH WINE,PRODUCT > MISC. BEVERAGES,2,118,153,11811,2.0,1.0,1.3
PRODUCT > SPECIALTY CHOCOLATE,PRODUCT > MISC. BEVERAGES,3,171,153,11811,2.0,1.0,1.4
PRODUCT > FLOWER (SEEDS),PRODUCT > POTATO PRODUCTS,1,43,19,11811,2.0,0.0,14.5
PRODUCT > HOUSE KEEPING PRODUCTS,PRODUCT > ABRASIVE CLEANER,1,51,16,11811,2.0,0.0,14.5
PRODUCT > DISH CLEANER,PRODUCT > ABRASIVE CLEANER,1,62,16,11811,2.0,0.0,11.9
PRODUCT > SOUPS,PRODUCT > ARTIF. SWEETENER,1,46,21,11811,2.0,0.0,12.2
PRODUCT > RICE,PRODUCT > BATHROOM CLEANER,1,50,9,11811,2.0,0.0,26.2
PRODUCT > CHOCOLATE MARSHMALLOW,PRODUCT > BATHROOM CLEANER,1,47,9,11811,2.0,0.0,27.9
PRODUCT > WHITE WINE,PRODUCT > HYGIENE ARTICLES,2,106,176,11811,2.0,1.0,1.3
PRODUCT > LIQUOR,PRODUCT > HYGIENE ARTICLES,1,63,176,11811,2.0,1.0,1.1
PRODUCT > LIQUOR (APPETIZER),PRODUCT > HYGIENE ARTICLES,1,51,176,11811,2.0,1.0,1.3
PRODUCT > DISH CLEANER,PRODUCT > HYGIENE ARTICLES,1,62,176,11811,2.0,1.0,1.1
PRODUCT > DOG FOOD,PRODUCT > HYGIENE ARTICLES,1,55,176,11811,2.0,1.0,1.2
PRODUCT > FROZEN POTATO PRODUCTS,PRODUCT > HYGIENE ARTICLES,1,55,176,11811,2.0,1.0,1.2
PRODUCT > PET CARE,PRODUCT > HYGIENE ARTICLES,1,61,176,11811,2.0,1.0,1.1
PRODUCT > BOTTLED BEER,PRODUCT > HYGIENE ARTICLES,7,421,176,11811,2.0,1.0,1.1
PRODUCT > OIL,PRODUCT > HYGIENE ARTICLES,4,194,176,11811,2.0,1.0,1.4
PRODUCT > NEWSPAPERS,PRODUCT > HYGIENE ARTICLES,7,378,176,11811,2.0,1.0,1.2
PRODUCT > INSTANT COFFEE,PRODUCT > HYGIENE ARTICLES,1,48,176,11811,2.0,1.0,1.4
PRODUCT > PICKLED VEGETABLES,PRODUCT > HYGIENE ARTICLES,2,122,176,11811,2.0,1.0,1.1
PRODUCT > FLOUR,PRODUCT > HYGIENE ARTICLES,2,123,176,11811,2.0,1.0,1.1
PRODUCT > HERBS,PRODUCT > HYGIENE ARTICLES,2,108,176,11811,2.0,1.0,1.2
PRODUCT > SHOPPING BAGS,PRODUCT > HYGIENE ARTICLES,11,442,176,11811,2.0,1.0,1.7
PRODUCT > CHOCOLATE MARSHMALLOW,PRODUCT > ORGANIC PRODUCTS,1,47,11,11811,2.0,0.0,22.8
PRODUCT > DISH CLEANER,PRODUCT > PROCESSED CHEESE,1,62,113,11811,2.0,1.0,1.7
PRODUCT > FROZEN POTATO PRODUCTS,PRODUCT > PROCESSED CHEESE,1,55,113,11811,2.0,1.0,1.9
PRODUCT > HAM,PRODUCT > PROCESSED CHEESE,4,184,113,11811,2.0,1.0,2.3
PRODUCT > INSTANT FOOD PRODUCTS,PRODUCT > SPECIALTY CHEESE,1,52,59,11811,2.0,0.0,3.8
PRODUCT > DOG FOOD,PRODUCT > SPECIALTY CHEESE,1,55,59,11811,2.0,0.0,3.6
PRODUCT > POPCORN,PRODUCT > CANNED VEGETABLES,1,48,72,11811,2.0,1.0,3.4
PRODUCT > SPECIALTY CHEESE,PRODUCT > CANNED VEGETABLES,1,62,72,11811,2.0,1.0,2.6
PRODUCT > CLING FILM/BAGS,PRODUCT > CANNED VEGETABLES,1,65,72,11811,2.0,1.0,2.5
PRODUCT > PASTA,PRODUCT > CANNED VEGETABLES,2,98,72,11811,2.0,1.0,3.3
PRODUCT > HOUSE KEEPING PRODUCTS,PRODUCT > CANNED VEGETABLES,1,51,72,11811,2.0,1.0,3.2
PRODUCT > SEMI-FINISHED BREAD,PRODUCT > CANNED VEGETABLES,2,122,72,11811,2.0,1.0,2.7
PRODUCT > HARD CHEESE,PRODUCT > CANNED VEGETABLES,3,167,72,11811,2.0,1.0,2.9
PRODUCT > INSTANT FOOD PRODUCTS,PRODUCT > CANNED VEGETABLES,1,52,72,11811,2.0,1.0,3.2
PRODUCT > FLOWER (SEEDS),PRODUCT > CANNED VEGETABLES,1,43,72,11811,2.0,1.0,3.8
PRODUCT > CLING FILM/BAGS,PRODUCT > COOKING CHOCOLATE,1,65,12,11811,2.0,0.0,15.1
PRODUCT > CANDLES,PRODUCT > COOKING CHOCOLATE,1,48,12,11811,2.0,0.0,20.5
PRODUCT > WHITE WINE,PRODUCT > FINISHED PRODUCTS,2,106,41,11811,2.0,0.0,5.4
PRODUCT > TURKEY,PRODUCT > FINISHED PRODUCTS,1,57,41,11811,2.0,0.0,5.1
PRODUCT > PET CARE,PRODUCT > FINISHED PRODUCTS,1,61,41,11811,2.0,0.0,4.7
PRODUCT > FROZEN POTATO PRODUCTS,PRODUCT > FINISHED PRODUCTS,1,55,41,11811,2.0,0.0,5.2
PRODUCT > SHOPPING BAGS,PRODUCT > SEASONAL PRODUCTS,7,442,79,11811,2.0,1.0,2.4
PRODUCT > FROZEN POTATO PRODUCTS,PRODUCT > SEASONAL PRODUCTS,1,55,79,11811,2.0,1.0,2.7
PRODUCT > INSTANT COFFEE,PRODUCT > SEASONAL PRODUCTS,1,48,79,11811,2.0,1.0,3.1
PRODUCT > HYGIENE ARTICLES,PRODUCT > SEASONAL PRODUCTS,4,183,79,11811,2.0,1.0,3.3
PRODUCT > PET CARE,PRODUCT > SEASONAL PRODUCTS,1,61,79,11811,2.0,1.0,2.5
PRODUCT > LIQUOR (APPETIZER),PRODUCT > SEASONAL PRODUCTS,1,51,79,11811,2.0,1.0,2.9
PRODUCT > FLOWER (SEEDS),PRODUCT > SEASONAL PRODUCTS,1,43,79,11811,2.0,1.0,3.5
PRODUCT > CANDLES,PRODUCT > SEASONAL PRODUCTS,1,48,79,11811,2.0,1.0,3.1
PRODUCT > DETERGENT,PRODUCT > SEASONAL PRODUCTS,2,106,79,11811,2.0,1.0,2.8
PRODUCT > SPECIALTY BAR,PRODUCT > SEASONAL PRODUCTS,3,144,79,11811,2.0,1.0,3.1
PRODUCT > CHEWING GUM,PRODUCT > LIQUOR (APPETIZER),2,116,48,11811,2.0,0.0,4.2
PRODUCT > CANNED BEER,PRODUCT > LIQUOR (APPETIZER),7,310,48,11811,2.0,0.0,5.6
PRODUCT > LIQUOR,PRODUCT > LIQUOR (APPETIZER),1,63,48,11811,2.0,0.0,3.9
PRODUCT > INSTANT FOOD PRODUCTS,PRODUCT > PICKLED VEGETABLES,1,52,123,11811,2.0,1.0,1.8
PRODUCT > LIQUOR,PRODUCT > PICKLED VEGETABLES,1,63,123,11811,2.0,1.0,1.5
PRODUCT > FROZEN FISH,PRODUCT > PICKLED VEGETABLES,2,83,123,11811,2.0,1.0,2.3
PRODUCT > CANDLES,PRODUCT > PICKLED VEGETABLES,1,48,123,11811,2.0,1.0,2.0
PRODUCT > POPCORN,PRODUCT > PICKLED VEGETABLES,1,48,123,11811,2.0,1.0,2.0
PRODUCT > SWEET SPREADS,PRODUCT > PICKLED VEGETABLES,1,55,123,11811,2.0,1.0,1.7
PRODUCT > DOG FOOD,PRODUCT > PICKLED VEGETABLES,1,55,123,11811,2.0,1.0,1.7
PRODUCT > HOUSE KEEPING PRODUCTS,PRODUCT > PICKLED VEGETABLES,1,51,123,11811,2.0,1.0,1.9
PRODUCT > INSTANT COFFEE,PRODUCT > SEMI-FINISHED BREAD,1,48,122,11811,2.0,1.0,2.0
PRODUCT > TURKEY,PRODUCT > SEMI-FINISHED BREAD,1,57,122,11811,2.0,1.0,1.7
PRODUCT > MAYONNAISE,PRODUCT > SEMI-FINISHED BREAD,1,66,122,11811,2.0,1.0,1.5
PRODUCT > VINEGAR,PRODUCT > SEMI-FINISHED BREAD,1,42,122,11811,2.0,1.0,2.3
PRODUCT > SPREAD CHEESE,PRODUCT > SEMI-FINISHED BREAD,2,81,122,11811,2.0,1.0,2.4
PRODUCT > VINEGAR,PRODUCT > SPECIALTY CHOCOLATE,1,42,170,11811,2.0,1.0,1.7
PRODUCT > CLING FILM/BAGS,PRODUCT > SPECIALTY CHOCOLATE,1,65,170,11811,2.0,1.0,1.1
PRODUCT > FINISHED PRODUCTS,PRODUCT > SPECIALTY CHOCOLATE,1,41,170,11811,2.0,1.0,1.7
PRODUCT > SHOPPING BAGS,PRODUCT > SPECIALTY CHOCOLATE,7,442,170,11811,2.0,1.0,1.1
PRODUCT > HYGIENE ARTICLES,PRODUCT > SPECIALTY CHOCOLATE,3,183,170,11811,2.0,1.0,1.1
PRODUCT > MUSTARD,PRODUCT > SPECIALTY CHOCOLATE,2,84,170,11811,2.0,1.0,1.7
PRODUCT > LONG LIFE BAKERY PRODUCT,PRODUCT > SPECIALTY CHOCOLATE,5,224,170,11811,2.0,1.0,1.6
PRODUCT > INSTANT COFFEE,PRODUCT > SPECIALTY CHOCOLATE,1,48,170,11811,2.0,1.0,1.4
PRODUCT > RICE,PRODUCT > SPECIALTY CHOCOLATE,1,50,170,11811,2.0,1.0,1.4
PRODUCT > BOTTLED BEER,PRODUCT > SPECIALTY CHOCOLATE,8,421,170,11811,2.0,1.0,1.3
PRODUCT > CHOCOLATE MARSHMALLOW,PRODUCT > SPECIALTY CHOCOLATE,1,47,170,11811,2.0,1.0,1.5
PRODUCT > WHITE WINE,PRODUCT > SPECIALTY CHOCOLATE,2,106,170,11811,2.0,1.0,1.3
PRODUCT > FLOWER (SEEDS),PRODUCT > SPECIALTY CHOCOLATE,1,43,170,11811,2.0,1.0,1.6
PRODUCT > CANDLES,PRODUCT > SPECIALTY CHOCOLATE,1,48,170,11811,2.0,1.0,1.4
PRODUCT > PICKLED VEGETABLES,PRODUCT > SPECIALTY CHOCOLATE,2,122,170,11811,2.0,1.0,1.1
PRODUCT > CHOCOLATE,PRODUCT > SPECIALTY CHOCOLATE,5,270,170,11811,2.0,1.0,1.3
PRODUCT > DISH CLEANER,PRODUCT > SPECIALTY CHOCOLATE,1,62,170,11811,2.0,1.0,1.1
PRODUCT > SWEET SPREADS,PRODUCT > SPECIALTY VEGETABLES,1,55,11,11811,2.0,0.0,19.5
PRODUCT > PICKLED VEGETABLES,PRODUCT > SPECIALTY VEGETABLES,2,122,11,11811,2.0,0.0,17.6
PRODUCT > SOUPS,PRODUCT > SPECIALTY VEGETABLES,1,46,11,11811,2.0,0.0,23.3
PRODUCT > ZWIEBACK,PRODUCT > CHOCOLATE MARSHMALLOW,1,45,55,11811,2.0,0.0,4.8
PRODUCT > CLING FILM/BAGS,PRODUCT > CHOCOLATE MARSHMALLOW,1,65,55,11811,2.0,0.0,3.3
PRODUCT > DISH CLEANER,PRODUCT > CHOCOLATE MARSHMALLOW,1,62,55,11811,2.0,0.0,3.5
PRODUCT > HYGIENE ARTICLES,PRODUCT > CHOCOLATE MARSHMALLOW,3,183,55,11811,2.0,0.0,3.5
PRODUCT > CANDY,PRODUCT > CHOCOLATE MARSHMALLOW,4,170,55,11811,2.0,0.0,5.1
PRODUCT > RICE,PRODUCT > INSTANT FOOD PRODUCTS,1,50,56,11811,2.0,0.0,4.2
PRODUCT > CANNED FISH,PRODUCT > INSTANT FOOD PRODUCTS,2,96,56,11811,2.0,0.0,4.4
PRODUCT > PASTA,PRODUCT > INSTANT FOOD PRODUCTS,2,98,56,11811,2.0,0.0,4.3
PRODUCT > DISH CLEANER,PRODUCT > INSTANT FOOD PRODUCTS,1,62,56,11811,2.0,0.0,3.4
PRODUCT > PICKLED VEGETABLES,PRODUCT > FROZEN POTATO PRODUCTS,2,122,55,11811,2.0,0.0,3.5
PRODUCT > INSTANT FOOD PRODUCTS,PRODUCT > FROZEN POTATO PRODUCTS,1,52,55,11811,2.0,0.0,4.1
PRODUCT > RICE,PRODUCT > FROZEN POTATO PRODUCTS,1,50,55,11811,2.0,0.0,4.3
PRODUCT > PET CARE,PRODUCT > HOUSE KEEPING PRODUCTS,1,61,39,11811,2.0,0.0,5.0
PRODUCT > POPCORN,PRODUCT > HOUSE KEEPING PRODUCTS,1,48,39,11811,2.0,0.0,6.3
PRODUCT > INSTANT FOOD PRODUCTS,PRODUCT > HOUSE KEEPING PRODUCTS,1,52,39,11811,2.0,0.0,5.8
PRODUCT > SWEET SPREADS,PRODUCT > HOUSE KEEPING PRODUCTS,1,55,39,11811,2.0,0.0,5.5
PRODUCT > CLING FILM/BAGS,PRODUCT > HOUSE KEEPING PRODUCTS,1,65,39,11811,2.0,0.0,4.7
PRODUCT > SWEET SPREADS,PRODUCT > FEMALE SANITARY PRODUCTS,1,55,34,11811,2.0,0.0,6.3
PRODUCT > HOUSE KEEPING PRODUCTS,PRODUCT > FEMALE SANITARY PRODUCTS,1,51,34,11811,2.0,0.0,6.8
PRODUCT > CANNED BEER,PRODUCT > LONG LIFE BAKERY PRODUCT,6,310,237,11811,2.0,2.0,1.0
PRODUCT > BOTTLED WATER,PRODUCT > LONG LIFE BAKERY PRODUCT,14,685,237,11811,2.0,2.0,1.0
PRODUCT > CANDLES,PRODUCT > LONG LIFE BAKERY PRODUCT,1,48,237,11811,2.0,2.0,1.0
PRODUCT > SPECIALTY CHOCOLATE,PRODUCT > LONG LIFE BAKERY PRODUCT,4,171,237,11811,2.0,2.0,1.2
PRODUCT > HOUSE KEEPING PRODUCTS,PRODUCT > LONG LIFE BAKERY PRODUCT,1,51,237,11811,2.0,2.0,1.0
PRODUCT > INSTANT COFFEE,PRODUCT > LONG LIFE BAKERY PRODUCT,1,48,237,11811,2.0,2.0,1.0
PRODUCT > POPCORN,PRODUCT > LONG LIFE BAKERY PRODUCT,1,48,237,11811,2.0,2.0,1.0
PRODUCT > HERBS,PRODUCT > PACKAGED FRUIT/VEGETABLES,2,108,85,11811,2.0,1.0,2.6
PRODUCT > PROCESSED CHEESE,PRODUCT > HAM,3,110,186,11811,3.0,2.0,1.7
PRODUCT > HERBS,PRODUCT > HAM,3,108,186,11811,3.0,2.0,1.8
PRODUCT > SAUCES,PRODUCT > HAM,1,36,186,11811,3.0,2.0,1.8
PRODUCT > CANNED VEGETABLES,PRODUCT > OIL,2,79,185,11811,3.0,2.0,1.6
PRODUCT > SALT,PRODUCT > OIL,2,73,185,11811,3.0,2.0,1.7
PRODUCT > BAKING POWDER,PRODUCT > OIL,3,117,185,11811,3.0,2.0,1.6
PRODUCT > FLOUR,PRODUCT > OIL,4,123,185,11811,3.0,2.0,2.1
PRODUCT > SAUCES,PRODUCT > OIL,1,36,185,11811,3.0,2.0,1.8
PRODUCT > KITCHEN TOWELS,PRODUCT > OIL,1,30,185,11811,3.0,2.0,2.1
PRODUCT > PHOTO/FILM,PRODUCT > TEA,1,35,28,11811,3.0,0.0,12.1
PRODUCT > CHICKEN,PRODUCT > BEEF,8,277,346,11811,3.0,3.0,1.0
PRODUCT > CITRUS FRUIT,PRODUCT > BEEF,19,586,346,11811,3.0,3.0,1.1
PRODUCT > RUM,PRODUCT > CURD,1,31,385,11811,3.0,3.0,1.0
PRODUCT > WHOLE MILK,PRODUCT > CURD,56,1734,385,11811,3.0,3.0,1.0
PRODUCT > WHIPPED/SOUR CREAM,PRODUCT > CURD,16,492,385,11811,3.0,3.0,1.0
PRODUCT > SPICES,PRODUCT > MEAT,1,38,181,11811,3.0,2.0,1.7
PRODUCT > PORK,PRODUCT > MEAT,12,389,181,11811,3.0,2.0,2.0
PRODUCT > SPARKLING WINE,PRODUCT > PORK,1,29,406,11811,3.0,3.0,1.0
PRODUCT > MEAT,PRODUCT > PORK,6,178,406,11811,3.0,3.0,1.0
PRODUCT > SOFTENER,PRODUCT > RICE,1,32,57,11811,3.0,0.0,6.5
PRODUCT > CEREALS,PRODUCT > SALT,1,35,80,11811,3.0,1.0,4.2
PRODUCT > MALE COSMETICS,PRODUCT > SALT,1,31,80,11811,3.0,1.0,4.8
PRODUCT > KETCHUP,PRODUCT > SALT,1,35,80,11811,3.0,1.0,4.2
PRODUCT > SALTY SNACK,PRODUCT > CANDY,6,208,167,11811,3.0,1.0,2.0
PRODUCT > CLING FILM/BAGS,PRODUCT > CANDY,2,65,167,11811,3.0,1.0,2.2
PRODUCT > SPECIALTY BAR,PRODUCT > CANDY,5,144,167,11811,3.0,1.0,2.5
PRODUCT > LONG LIFE BAKERY PRODUCT,PRODUCT > CANDY,6,224,167,11811,3.0,1.0,1.9
PRODUCT > DENTAL CARE,PRODUCT > CANDY,1,38,167,11811,3.0,1.0,1.9
PRODUCT > CHOCOLATE,PRODUCT > CANDY,9,270,167,11811,3.0,1.0,2.4
PRODUCT > DISH CLEANER,PRODUCT > CANDY,2,62,167,11811,3.0,1.0,2.3
PRODUCT > SAUCES,PRODUCT > FLOUR,1,36,123,11811,3.0,1.0,2.7
PRODUCT > SALT,PRODUCT > FLOUR,2,73,123,11811,3.0,1.0,2.6
PRODUCT > MEAT SPREADS,PRODUCT > FLOUR,1,30,123,11811,3.0,1.0,3.2
PRODUCT > SPARKLING WINE,PRODUCT > HERBS,1,29,117,11811,3.0,1.0,3.5
PRODUCT > CURD CHEESE,PRODUCT > HERBS,1,35,117,11811,3.0,1.0,2.9
PRODUCT > SOFTENER,PRODUCT > PASTA,1,32,95,11811,3.0,1.0,3.9
PRODUCT > SAUCES,PRODUCT > PASTA,1,36,95,11811,3.0,1.0,3.5
PRODUCT > MALE COSMETICS,PRODUCT > SOUPS,1,31,42,11811,3.0,0.0,9.1
PRODUCT > CANNED VEGETABLES,PRODUCT > SOUPS,2,79,42,11811,3.0,0.0,7.1
PRODUCT > CONDENSED MILK,PRODUCT > SUGAR,2,70,229,11811,3.0,2.0,1.5
PRODUCT > SALT,PRODUCT > SUGAR,2,73,229,11811,3.0,2.0,1.4
PRODUCT > PHOTO/FILM,PRODUCT > SUGAR,1,35,229,11811,3.0,2.0,1.5
PRODUCT > OIL,PRODUCT > SUGAR,5,194,229,11811,3.0,2.0,1.3
PRODUCT > ICE CREAM,PRODUCT > SUGAR,4,148,229,11811,3.0,2.0,1.4
PRODUCT > MEAT SPREADS,PRODUCT > SUGAR,1,30,229,11811,3.0,2.0,1.7
PRODUCT > KITCHEN TOWELS,PRODUCT > SUGAR,1,30,229,11811,3.0,2.0,1.7
PRODUCT > CEREALS,PRODUCT > SUGAR,1,35,229,11811,3.0,2.0,1.5
PRODUCT > JAM,PRODUCT > SUGAR,1,40,229,11811,3.0,2.0,1.3
PRODUCT > KETCHUP,PRODUCT > SUGAR,1,35,229,11811,3.0,2.0,1.5
PRODUCT > MARGARINE,PRODUCT > SUGAR,10,386,229,11811,3.0,2.0,1.3
PRODUCT > JAM,PRODUCT > SYRUP,1,40,18,11811,3.0,0.0,16.4
PRODUCT > MALE COSMETICS,PRODUCT > BRANDY,1,31,22,11811,3.0,0.0,17.3
PRODUCT > MEAT,PRODUCT > BUTTER,6,178,387,11811,3.0,3.0,1.0
PRODUCT > SPARKLING WINE,PRODUCT > COFFEE,1,29,346,11811,3.0,3.0,1.2
PRODUCT > CURD CHEESE,PRODUCT > COFFEE,1,35,346,11811,3.0,3.0,1.0
PRODUCT > DETERGENT,PRODUCT > COFFEE,3,106,346,11811,3.0,3.0,1.0
PRODUCT > SOFTENER,PRODUCT > COFFEE,1,32,346,11811,3.0,3.0,1.1
PRODUCT > PHOTO/FILM,PRODUCT > COFFEE,1,35,346,11811,3.0,3.0,1.0
PRODUCT > CANNED FISH,PRODUCT > COFFEE,3,96,346,11811,3.0,3.0,1.1
PRODUCT > UHT-MILK,PRODUCT > COFFEE,7,240,346,11811,3.0,3.0,1.0
PRODUCT > BOTTLED BEER,PRODUCT > COFFEE,14,421,346,11811,3.0,3.0,1.1
PRODUCT > SHOPPING BAGS,PRODUCT > COFFEE,14,442,346,11811,3.0,3.0,1.1
PRODUCT > PASTA,PRODUCT > DISHES,3,98,86,11811,3.0,1.0,4.2
PRODUCT > JAM,PRODUCT > DISHES,1,40,86,11811,3.0,1.0,3.4
PRODUCT > KETCHUP,PRODUCT > DISHES,1,35,86,11811,3.0,1.0,3.9
PRODUCT > CLING FILM/BAGS,PRODUCT > DISHES,2,65,86,11811,3.0,1.0,4.2
PRODUCT > DISH CLEANER,PRODUCT > DISHES,2,62,86,11811,3.0,1.0,4.4
PRODUCT > NAPKINS,PRODUCT > DISHES,8,281,86,11811,3.0,1.0,3.9
PRODUCT > HAMBURGER MEAT,PRODUCT > GRAPES,6,230,155,11811,3.0,1.0,2.0
